# Category classification table for HUC12 basins
# - the value corresponds to HUC12 attribute
# - the label uses HUC12 and Name values, currently hard-coded here because simple
# - old #ff3399 is pink
# - #663300 is brown
value,color,opacity,fillColor,fillOpacity,weight,label
101900050101,#663300,1.0,#663300,0.2,2,"101900050101, Headwaters South Saint Vrain Creek"
101900050102,#663300,1.0,#663300,0.2,2,"101900050102, Middle Saint Vrain Creek"
101900050103,#663300,1.0,#663300,0.2,2,"101900050103, Outlet South Saint Vrain Creek"
101900050201,#663300,1.0,#663300,0.2,2,"101900050201, Rock Creek"
101900050202,#663300,1.0,#663300,0.2,2,"101900050202, Headwaters North Saint Vrain Creek"
101900050203,#663300,1.0,#663300,0.2,2,"101900050203, Cabin Creek"
101900050204,#663300,1.0,#663300,0.2,2,"101900050204, Outlet North Saint Vrain Creek"
101900050301,#663300,1.0,#663300,0.2,2,"101900050301, Little James Creek"
101900050302,#663300,1.0,#663300,0.2,2,"101900050302, Upper Left Hand Creek"
101900050303,#663300,1.0,#663300,0.2,2,"101900050303, Middle Left Hand Creek"
101900050304,#663300,1.0,#663300,0.2,2,"101900050304, Lower Left Hand Creek"
101900050401,#663300,1.0,#663300,0.2,2,"101900050401, North Boulder Creek"
101900050402,#663300,1.0,#663300,0.2,2,"101900050402, Middle Boulder Creek"
101900050403,#663300,1.0,#663300,0.2,2,"101900050403, Fourmile Creek"
101900050404,#663300,1.0,#663300,0.2,2,"101900050404, Bummers Gulch-Boulder Creek"
101900050405,#663300,1.0,#663300,0.2,2,"101900050405, Fourmile Canyon Creek"
101900050406,#663300,1.0,#663300,0.2,2,"101900050406, Bear Canyon Creek-Boulder Creek"
101900050501,#663300,1.0,#663300,0.2,2,"101900050501, Headwaters South Boulder Creek"
101900050502,#663300,1.0,#663300,0.2,2,"101900050502, Upper South Boulder Creek"
101900050503,#663300,1.0,#663300,0.2,2,"101900050503, Middle South Boulder Creek"
101900050504,#663300,1.0,#663300,0.2,2,"101900050504, Lower South Boulder Creek"
101900050601,#663300,1.0,#663300,0.2,2,"101900050601, Dry Creek-Boulder Creek"
101900050602,#663300,1.0,#663300,0.2,2,"101900050602, Upper Coal Creek"
101900050603,#663300,1.0,#663300,0.2,2,"101900050603, Middle Coal Creek"
101900050604,#663300,1.0,#663300,0.2,2,"101900050604, Lower Coal Creek"
101900050605,#663300,1.0,#663300,0.2,2,"101900050605, Bullhead Gulch-Boulder Creek"
101900050701,#663300,1.0,#663300,0.2,2,"101900050701, Foothills Reservoir-Saint Vrain Creek"
101900050702,#663300,1.0,#663300,0.2,2,"101900050702, Dry Creek"
101900050703,#663300,1.0,#663300,0.2,2,"101900050703, McIntosh Lake-Saint Vrain Creek"
101900050704,#663300,1.0,#663300,0.2,2,"101900050704, Boulder Reservoir"
101900050705,#663300,1.0,#663300,0.2,2,"101900050705, Outlet Boulder Creek"
101900050706,#663300,1.0,#663300,0.2,2,"101900050706, Calkins Lake-Saint Vrain Creek"
101900050707,#663300,1.0,#663300,0.2,2,"101900050707, Firestone Lake-Saint Vrain Creek"
101900050708,#663300,1.0,#663300,0.2,2,"101900050708, Lake Thomas"
101900050709,#663300,1.0,#663300,0.2,2,"101900050709, Outlet Saint Vrain Creek"
